TAGS,PACKAGE,DESCRIPTION
,xorg-server,Xserver
,xorg-xinit,Xserver init script
,xorg-xsetroot,Xserver root window manager
,xdotool,Xserver command line automation
,xorg-xprop,Xserver property displayer part 1
,xorg-xwininfo,Xserver property displayer part 2
,xclip,Xserver clipboard manager
,pipewire-pulse,Audio router and processor
,wireplumber,Pipewire session/policy manager
,libnotify,Library for sending notifications
,lxsession-gtk3,Session manager
,ntfs-3g,NTFS filesystem driver and utilities
,p7zip,"ZIP archive manager, and more"
,unrar,RAR archive manager
,yad,Utility to display graphical dialogs from scripts
,bspwm,Tiling window manager
,sxhkd,Hotkey daemon
,dunst,Notification daemon
,polybar,Status bar
,rofi,Application launcher
,unclutter,Hides inactive mouse
,ttf-ubuntu-font-family,Regular font
,noto-fonts,Fallback font with great coverage
,ttf-font-awesome,Font with icons
,noto-fonts-emoji,Font with emojis
,ttf-iosevkaterm-nerd,Monospace nerd-font
,kvantum-qt5,Theme engine for QT5
,qt5ct,Configuration utility for QT5
,kvantum,Theme engine for QT6
,qt6ct,Configuration utility for QT6
,nwg-look,Configuration utility for GTK
,gnome-themes-extra,Contains dark Adwaita GTK theme
,xcursor-comix,Cursor theme
,papirus-icon-theme,Icon theme
,nitrogen,Background setter for Xserver
,gnupg,OpenPGP
,openssh,OpenSSH
,man-db,Provides manuals
,alacritty,Terminal emulator
,tmux,Terminal multiplexer
,fish,Good interactive shell
,zoxide,Better cd
,eza,Better ls
,bat,Better cat
,neovim,Text editor
,lazygit,Terminal UI for git
,lf,File manager
,thunar,"File manager, graphical"
,mpv,Media player
,nsxiv,Image viewer
,zathura,Document viewer
,zathura-pdf-mupdf,Zathura PDF support
,csvlens,CSV document viewer
,scrot,Screenshot tool
,ncdu,Disk space management utility
A,trashy,CLI trash manager
,handlr-regex,Better xdg-utils
,engrampa,Archive manipulator
,keepassxc,Password manager
,firefox,Web browser
,qbittorrent,BitTorrent client
,filezilla,FTP client
,calibre,E-Library management
,git,Version control
,pyenv,Python version manager
,python,Python programming language
,python-pip,Python package manager
,rust-analyzer,Rust code analyzer
,libsecret,"Needed for: git, keepassxc"
,inetutils,Needed for: fish
,fd,Needed for: neovim
,fzf,Needed for: neovim
,wget,Needed for: neovim
,ripgrep,Needed for: neovim
,npm,Needed for: neovim
,nodejs,Needed for: neovim
,tree-sitter-cli,Needed for: neovim
,atool,Needed for: lf
,djvulibre,Needed for: lf
,ffmpegthumbnailer,Needed for: lf
,imagemagick,Needed for: lf
,jq,Needed for: lf
,lynx,Needed for: lf
,pandoc,Needed for: lf
,poppler,Needed for: lf
,source-highlight,Needed for: lf
A,ueberzugpp,Needed for: lf
,gvfs,Needed for: thunar
,tumbler,Needed for: thunar
,thunar-archive-plugin,Needed for: thunar
,thunar-media-tags-plugin,Needed for: thunar
